accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.132,0.0056,0.0225,0.0716,0.0576,-0.0238,0.0001,0.0006,1.0,0.0894,2.0,3
-0.002,0.076,0.011,0.0353,0.0184,0.0149,0.0004,0.1224,1.0,0.0512,2.0,3
0.0129,-0.0186,-0.006,-0.0428,-0.0178,-0.0075,0.0001,0.2087,1.0,0.0156,2.0,3
0.1349,-0.0931,-0.0913,-0.0057,-0.0067,-0.0089,0.0003,0.1845,1.0,0.1251,2.0,3
0.1478,-0.0217,-0.0293,0.0158,-0.0585,0.0069,0.0002,0.1849,1.0,0.1015,2.0,3
0.1259,-0.0493,-0.0536,-0.0128,-0.0411,-0.0032,0.0003,0.0952,1.0,0.097,2.0,3
0.0714,-0.0656,-0.0378,0.0002,-0.059,-0.0033,0.0002,0.0002,1.0,0.0694,2.0,3
0.0995,-0.044,-0.043,0.0214,-0.1279,0.0022,0.0002,0.0002,0.4533,0.0779,2.0,3
0.1954,-0.0098,-0.031,-0.001,-0.1343,-0.0016,0.0002,0.0001,0.0,0.1321,2.0,3
0.2721,-0.0202,-0.0289,-0.0393,0.0011,0.0099,0.0002,0.0003,0.0,0.1829,2.0,3
0.1816,-0.0595,-0.0127,-0.0128,0.0214,0.0028,0.0003,0.0002,0.0,0.1277,2.0,3
0.1434,-0.0411,-0.0157,0.0088,0.0224,0.011,0.0002,0.0002,0.0,0.1,2.0,3
0.1501,-0.0382,-0.01,0.0042,0.021,0.018,0.0003,0.0001,0.0,0.1035,2.0,3
0.0562,-0.0667,-0.0023,0.0122,-0.0032,0.0072,0.0001,0.0003,0.0,0.0582,2.0,3
0.1373,-0.04,0.0028,0.02,-0.0542,0.0151,0.0003,0.0001,0.0,0.0954,2.0,3
0.1908,-0.0689,-0.0419,0.0243,-0.0334,0.0053,0.0001,0.0003,0.0,0.1381,2.0,3
0.0714,-0.0656,-0.0378,0.0002,-0.059,-0.0033,0.0002,0.0002,1.0,0.0694,3.0,3
0.0995,-0.044,-0.043,0.0214,-0.1279,0.0022,0.0002,0.0002,0.4533,0.0779,3.0,3
0.1954,-0.0098,-0.031,-0.001,-0.1343,-0.0016,0.0002,0.0001,0.0,0.1321,3.0,3
0.2721,-0.0202,-0.0289,-0.0393,0.0011,0.0099,0.0002,0.0003,0.0,0.1829,3.0,3
0.1816,-0.0595,-0.0127,-0.0128,0.0214,0.0028,0.0003,0.0002,0.0,0.1277,3.0,3
0.1434,-0.0411,-0.0157,0.0088,0.0224,0.011,0.0002,0.0002,0.0,0.1,3.0,3
0.1501,-0.0382,-0.01,0.0042,0.021,0.018,0.0003,0.0001,0.0,0.1035,3.0,3
0.0562,-0.0667,-0.0023,0.0122,-0.0032,0.0072,0.0001,0.0003,0.0,0.0582,3.0,3
0.1373,-0.04,0.0028,0.02,-0.0542,0.0151,0.0003,0.0001,0.0,0.0954,3.0,3
0.1908,-0.0689,-0.0419,0.0243,-0.0334,0.0053,0.0001,0.0003,0.0,0.1381,3.0,3
0.1972,-0.0497,-0.0464,0.0264,-0.0424,-0.0236,0.0,0.0003,0.0,0.1391,3.0,3
0.2198,-0.0503,-0.0432,0.0423,-0.0289,-0.029,0.0004,0.0002,0.0,0.1531,3.0,3
