accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
-0.1798,0.1609,0.0363,0.025,0.0079,-0.0045,0.6289,0.0002,0.0,0.1627,44.0,1
-0.1916,0.1825,0.005,-0.0173,-0.0244,-0.0016,0.5326,0.0002,0.0,0.1764,44.0,1
-0.1593,0.1444,0.019,-0.0283,-0.0118,-0.0058,0.4268,0.0002,0.0,0.1439,44.0,1
-0.1807,0.1399,0.0511,-0.0188,-0.0058,-0.0106,0.0346,0.0002,0.0,0.1561,44.0,1
-0.1844,0.1501,0.0456,-0.0061,-0.0092,-0.0071,0.0009,0.0002,0.0,0.1614,44.0,1
-0.1899,0.146,0.0311,-0.009,-0.0103,-0.0035,0.0009,0.0002,0.0,0.161,44.0,1
-0.1828,0.1418,0.0431,-0.0028,-0.0118,0.0026,0.001,0.0002,0.0,0.1569,44.0,1
-0.1817,0.148,0.0313,0.0013,-0.011,0.0009,0.0009,0.0002,0.0,0.1576,44.0,1
-0.1834,0.1555,0.0309,-0.0012,-0.0122,-0.0013,0.0009,0.0002,0.0,0.1616,44.0,1
-0.1861,0.1507,0.028,-0.0046,-0.012,-0.0018,0.0008,0.0002,0.0,0.1607,44.0,1
-0.1823,0.151,0.0319,-0.0095,-0.0078,-0.0009,0.0008,0.0002,0.0,0.1592,44.0,1
-0.1888,0.1364,0.0437,-0.0038,-0.0126,-0.0002,0.0009,0.0002,0.0,0.158,44.0,1
-0.1823,0.151,0.0319,-0.0095,-0.0078,-0.0009,0.0008,0.0002,0.0,0.1592,45.0,1
-0.1888,0.1364,0.0437,-0.0038,-0.0126,-0.0002,0.0009,0.0002,0.0,0.158,45.0,1
-0.1857,0.1491,0.0368,0.0025,-0.0117,0.0031,0.0008,0.0002,0.0,0.1606,45.0,1
-0.1823,0.1448,0.0344,0.0013,-0.0142,0.0013,0.0008,0.0002,0.0,0.1569,45.0,1
-0.1819,0.1444,0.0357,-0.0008,-0.0119,-0.0014,0.0009,0.0003,0.0,0.1567,45.0,1
-0.1951,0.1409,0.0371,-0.0012,-0.0104,0.0004,0.0009,0.0002,0.0,0.1623,45.0,1
-0.1877,0.1416,0.0363,0.0047,-0.0125,0.0031,0.0008,0.0002,0.0,0.1586,45.0,1
-0.1856,0.1469,0.0346,0.0029,-0.0116,0.0028,0.0009,0.0002,0.0,0.1595,45.0,1
-0.1875,0.1469,0.035,0.0025,-0.0124,0.0014,0.0008,0.0002,0.0,0.1605,45.0,1
-0.1844,0.1441,0.0349,0.0017,-0.0133,0.0014,0.0009,0.0002,0.0,0.1577,45.0,1
-0.1823,0.1498,0.0333,0.001,-0.0118,-0.0005,0.0008,0.0002,0.0,0.1589,45.0,1
-0.1885,0.1442,0.0387,0.0016,-0.0128,0.0009,0.0009,0.0002,0.0,0.1603,45.0,1
-0.1802,0.1366,0.0418,0.0108,-0.0038,0.0045,0.0009,0.0003,0.0,0.1533,45.0,1
-0.1938,0.1353,0.0554,0.0262,-0.001,0.0086,0.45,0.0002,0.0,0.1618,45.0,1
-0.2047,0.1245,0.0644,0.0634,-0.0194,0.0155,1.0,0.0002,0.0,0.1654,45.0,1
-0.187,0.1658,-0.0097,0.0729,-0.0085,0.0153,1.0,0.0002,0.0,0.1668,45.0,1
-0.1348,0.1706,0.0318,0.0367,0.0046,-0.0148,1.0,0.0002,0.0,0.1465,45.0,1
-0.2073,0.1983,0.0097,0.0019,-0.0062,-0.0158,1.0,0.0002,0.0,0.1914,45.0,1
-0.2054,0.1682,0.0266,-0.0109,-0.0351,-0.0155,1.0,0.0002,0.0,0.1779,45.0,1
-0.1729,0.1485,0.021,-0.004,-0.0195,-0.0168,1.0,0.0002,0.0,0.1526,45.0,1
-0.1936,0.1934,0.0099,-0.0114,-0.0218,-0.0259,0.82,0.0002,0.0,0.1826,45.0,1
