accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.9862,0.009,-0.0657,-0.105,0.3503,0.0752,0.0004,1.0,1.0,0.6589,2.0,6
0.3402,-0.1689,-0.2516,-0.1846,0.0417,0.0422,0.086,1.0,1.0,0.3038,2.0,6
0.0953,-0.4421,-0.4371,-0.1645,0.3941,-0.0655,0.086,1.0,1.0,0.4193,2.0,6
-1.0,-0.3934,-0.1941,0.1455,0.3119,-0.1326,0.0004,1.0,1.0,0.728,2.0,6
-0.9447,0.2635,-0.3285,-0.0701,0.2003,-0.4396,0.0004,1.0,1.0,0.6895,2.0,6
-1.0,0.0399,-0.2108,0.0029,0.2591,-0.1909,0.0004,1.0,1.0,0.6818,2.0,6
-0.6775,0.2462,-0.0632,-0.0987,0.0081,-0.0188,0.0004,1.0,1.0,0.4824,2.0,6
-0.3359,-0.2338,-0.1597,-0.147,-0.0285,0.0712,0.0004,1.0,1.0,0.2929,2.0,6
-0.4083,-0.3829,-0.1215,-0.1008,-0.0568,0.0896,0.0003,1.0,1.0,0.3819,2.0,6
-0.4637,-0.4033,-0.1136,0.0122,-0.1462,0.0472,0.0003,1.0,1.0,0.4166,2.0,6
-0.4768,-0.1441,-0.0839,0.1282,-0.2259,0.0514,0.0001,1.0,1.0,0.3367,2.0,6
-0.4667,-0.0057,-0.0578,0.0632,-0.2764,0.1202,0.0004,1.0,1.0,0.3135,2.0,6
-0.311,-0.1279,-0.0607,0.0389,-0.2867,0.1347,0.0,1.0,1.0,0.2278,2.0,6
-0.2644,-0.1245,-0.045,0.1296,-0.3234,0.0919,0.0005,1.0,0.3433,0.1971,2.0,6
0.3518,0.1238,-0.0403,-0.023,0.0456,-0.0413,0.0006,0.0001,0.0,0.2501,3.0,6
0.2004,0.0715,-0.0368,0.0398,0.0191,0.0087,0.0001,0.0004,0.0,0.144,3.0,6
0.1898,0.1076,-0.0917,0.0318,-0.0547,0.0189,0.0006,0.0001,0.0,0.1578,3.0,6
0.2256,0.0657,-0.0958,-0.0143,-0.0076,-0.0037,0.0,0.0004,0.0,0.1692,3.0,6
0.0696,0.0264,-0.0412,0.0058,0.0225,-0.0102,0.0005,0.0002,0.0,0.0567,3.0,6
0.0223,0.1168,-0.0045,0.0536,-0.0541,0.0212,0.0001,0.0003,0.0,0.0793,3.0,6
0.1072,0.1159,-0.0215,0.0018,-0.0348,0.0147,0.0004,0.0002,0.0,0.1062,3.0,6
0.0223,0.0185,-0.044,0.0192,-0.0041,0.0258,0.0001,0.0003,0.0,0.0351,3.0,6
0.0474,0.0681,-0.0486,0.0442,-0.0646,0.0252,0.0004,0.0002,0.0,0.0641,3.0,6
0.1261,0.0749,-0.0475,0.0313,-0.0217,0.0329,0.0002,0.0003,0.0,0.1028,3.0,6
0.0983,0.0742,-0.0634,-0.0021,-0.0103,0.0306,0.0004,0.0002,0.0,0.0923,3.0,6
0.165,0.0679,-0.0015,0.0305,0.0214,0.0315,0.0002,0.0003,0.0,0.119,3.0,6
0.2796,0.1591,-0.0213,0.0586,0.0774,0.0332,0.0003,0.0004,0.0,0.2149,3.0,6
0.4683,0.196,-0.1231,-0.0091,0.2526,0.0222,0.0003,0.579,0.0,0.3482,3.0,6
0.7089,0.1664,-0.1791,-0.0719,0.4402,0.1017,0.0002,1.0,0.8,0.4999,3.0,6
0.3997,-0.0076,-0.1467,-0.0933,0.1248,0.1561,0.0003,1.0,1.0,0.2839,3.0,6
0.9862,-0.222,-0.2942,-0.1441,0.1406,0.0451,0.0003,1.0,1.0,0.7019,3.0,6
0.5831,-0.4031,-0.4055,-0.1944,0.2231,-0.0961,0.0005,1.0,1.0,0.5445,3.0,6
-0.5984,-0.3959,-0.0932,-0.0516,0.376,-0.049,0.0003,1.0,1.0,0.4824,3.0,6
-0.7908,0.1884,-0.0008,-0.0327,0.1728,-0.222,0.0005,1.0,1.0,0.5419,3.0,6
-1.0,-0.0054,-0.2086,-0.0626,0.3492,-0.3575,0.0002,1.0,1.0,0.681,3.0,6
-1.0,0.3509,0.0115,0.0472,0.0738,-0.0969,0.0006,1.0,1.0,0.7066,3.0,6
-0.6691,0.1374,-0.0811,-0.1029,-0.0249,-0.0006,0.0002,1.0,1.0,0.4585,3.0,6
-0.4492,-0.0721,-0.1509,-0.0633,-0.0961,0.1003,0.0006,1.0,1.0,0.3196,3.0,6
-0.3961,-0.1962,-0.1784,-0.1122,-0.1477,0.1288,0.0001,1.0,1.0,0.3178,3.0,6
-0.3553,-0.3747,-0.1494,-0.043,-0.1964,0.1142,0.0005,1.0,1.0,0.3584,3.0,6
-0.4017,-0.242,-0.0074,0.0821,-0.2443,0.1283,0.0,1.0,1.0,0.3127,3.0,6
-0.2917,-0.0767,-0.0772,0.1346,-0.3259,0.0398,0.0006,1.0,0.4933,0.2076,3.0,6
-0.0859,0.0201,-0.1187,0.1023,-0.2938,-0.0316,0.0,0.6905,0.0,0.0986,3.0,6
-0.0622,0.0068,-0.0596,0.1371,-0.2672,0.0055,0.0006,0.3862,0.0,0.0576,3.0,6
-0.0859,0.0201,-0.1187,0.1023,-0.2938,-0.0316,0.0,0.6905,0.0,0.0986,4.0,6
-0.0622,0.0068,-0.0596,0.1371,-0.2672,0.0055,0.0006,0.3862,0.0,0.0576,4.0,6
0.2634,0.0798,-0.1248,0.0248,0.0214,-0.0348,0.0005,0.0002,0.0,0.2015,4.0,6
0.1898,0.091,-0.1075,0.0231,-0.0022,-0.0079,0.0001,0.0003,0.0,0.1576,4.0,6
0.1509,0.126,-0.0529,-0.0244,0.0097,-0.0289,0.0004,0.0002,0.0,0.1357,4.0,6
