gesture_id,timestep,label,name,ax,ay,az,gx,gy,gz,f1,f2,f3,mag,exp_logit_0,exp_logit_1,exp_logit_2,exp_logit_3,exp_logit_4,exp_logit_5,exp_logit_6,exp_logit_7,exp_logit_8
2,1,8,crane_wing,0.0014,-0.007,0.0031,-0.0185,0.0077,0.016,0.0,0.0007,0.0,0.0078,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,2,8,crane_wing,-0.0006,0.0007,-0.0019,-0.0152,0.0137,0.0168,0.0,0.0009,0.0,0.0022,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,3,8,crane_wing,0.0177,-0.0084,0.0028,-0.0249,0.0189,0.0166,0.0,0.0008,0.0,0.0198,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,4,8,crane_wing,0.0646,0.0275,0.078,-0.0541,0.0346,0.0143,0.0,0.0008,0.0,0.1049,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,5,8,crane_wing,-0.0018,0.0536,0.422,-0.1568,0.077,-0.0277,0.0,0.001,0.0,0.4254,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,6,8,crane_wing,-0.4201,0.0614,0.3416,-0.2025,-0.2925,-0.0067,0.0,0.0007,0.0,0.545,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,7,8,crane_wing,-0.261,-0.0791,0.2733,0.0029,-0.857,0.0767,0.0,0.0009,0.0,0.3861,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,8,8,crane_wing,-0.0804,-0.0725,-0.0225,0.1019,-0.9555,0.0945,0.0,0.0008,0.0,0.1106,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,9,8,crane_wing,-0.2183,-0.1789,-0.2531,0.1923,-0.9969,0.0699,0.0,0.0008,0.0,0.3791,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,10,8,crane_wing,-0.0755,-0.1421,-0.6769,0.325,-0.9969,0.0934,0.0,0.0008,0.0,0.6957,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,11,8,crane_wing,0.192,-0.1494,-1.0,0.3697,-0.8896,0.1703,0.0,0.0007,0.0,1.0,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,12,8,crane_wing,0.2148,-0.0592,-0.8839,0.142,-0.4449,0.0939,0.0,0.0009,0.0,0.9115,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,13,8,crane_wing,0.1602,-0.0824,-0.6129,0.0264,-0.1745,0.0308,0.0,0.0007,0.0,0.6388,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,14,8,crane_wing,0.2252,-0.0023,-0.3689,-0.0369,0.0487,0.0436,0.0,0.0009,0.0,0.4322,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,15,8,crane_wing,0.1528,-0.0095,-0.1356,-0.0842,0.1858,0.0169,0.0,0.0007,0.0,0.2045,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,16,8,crane_wing,0.1602,0.0262,-0.0095,-0.0686,0.2191,-0.0076,0.0,0.0008,0.0,0.1626,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
2,17,8,crane_wing,0.1949,0.0728,0.0877,-0.0765,0.26,-0.0099,0.0,0.0009,0.0,0.2258,-17.86726,-179.255737,-108.809196,-159.262665,-42.214252,-95.788467,-106.166435,-18.621964,8.374714
